antenna-tarelka.glb: треугольников 19462, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.72 x 1.00 x 0.69, плита 1.00
kadka-s-zelenyu.glb: треугольников 19170, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.74 x 0.66, плита 0.54
kupol-grib.glb: треугольников 19748, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.99 x 0.67 x 0.99, плита 0.15
led-glyba-kristallicheskaya.glb: треугольников 19369, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.90 x 0.98, плита 0.69
led-greben.glb: треугольников 19550, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.42 x 0.18, плита 1.00
led-skvazhina.glb: треугольников 19744, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 0.82 x 1.00 x 0.86, плита 0.46
led-valun-v-shube.glb: треугольников 19880, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.96 x 0.91, плита 0.20
solnechnaya-batareya.glb: треугольников 19032, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.86 x 0.38, плита 0.53
truba-na-kozlakh.glb: треугольников 18827, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 0.52 x 0.35, плита 0.81
yashchiki-shtabel.glb: треугольников 18574, мешей 1, материалов 1, текстур 1, текстура 2048x2048, габарит 1.00 x 1.00 x 1.00, плита 1.00
